code,name,definition,source,has_definition,num_synonyms
A15.0,"Tuberculosis of lung, confirmed by sputum microscopy with or without culture",Tuberculosis of lung; Tuberculous fibrosis of lung; Tuberculous bronchiectasis; Tuberculous pneumothorax; Tuberculous pneumonia. MYCOBACTERIUM infections of the lung.,MSH,True,8
A15.1,"Tuberculosis of lung, confirmed by culture only","Tuberculosis of lung, confirmed by culture only",ICD10_XML,False,2
A15.2,"Tuberculosis of lung, confirmed histologically","Tuberculosis of lung, confirmed histologically",ICD10_XML,False,2
A15.3,"Tuberculosis of lung, confirmed by unspecified means","Tuberculosis of lung, confirmed by unspecified means",ICD10_XML,False,2
A15.4,"Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically","Tuberculosis of intrathoracic lymph nodes; Tuberculosis of hilar lymph nodes; Tuberculosis of mediastinal lymph nodes; Tuberculosis of tracheobronchial lymph nodes; Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically",ICD10_XML,False,7
A15.5,"Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically","Tuberculosis of larynx; Tuberculosis of bronchus; Tuberculosis of glottis; Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically; Tuberculosis of trachea. Tuberculosis involving the larynx, producing ulceration of the VOCAL CORDS and the LARYNGEAL MUCOSA.",MSH,True,8
A15.6,"Tuberculous pleurisy, confirmed bacteriologically and histologically","Tuberculous pleurisy; Tuberculous pleurisy, confirmed bacteriologically and histologically; Tuberculosis of pleura Tuberculous empyema. Tuberculosis of the serous membrane lining the thoracic cavity and surrounding the lungs.",MSH,True,5
A15.7,"Primary respiratory tuberculosis, confirmed bacteriologically and histologically","Primary respiratory tuberculosis, confirmed bacteriologically and histologically; Primary respiratory tuberculosis",ICD10_XML,False,4
A15.8,"Other respiratory tuberculosis, confirmed bacteriologically and histologically","Other respiratory tuberculosis; Mediastinal tuberculosis; Tuberculosis of nose; Other respiratory tuberculosis, confirmed bacteriologically and histologically; Nasopharyngeal tuberculosis",ICD10_XML,False,8
A15.9,"Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically","Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically; Respiratory tuberculosis unspecified",ICD10_XML,False,4
A16,"Respiratory tuberculosis, not confirmed bacteriologically or histologically","Respiratory tuberculosis, not confirmed bacteriologically or histologically",ICD10_XML,False,2
A16.0,"Tuberculosis of lung, bacteriologically and histologically negative","Tuberculosis of lung, bacteriologically and histologically negative",ICD10_XML,False,2
A16.1,"Tuberculosis of lung, bacteriological and histological examination not done","Tuberculosis of lung, bacteriological and histological examination not done",ICD10_XML,False,2
A16.2,"Tuberculosis of lung, without mention of bacteriological or histological confirmation","Tuberculosis of lung, without mention of bacteriological or histological confirmation",ICD10_XML,False,2
A16.3,"Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation","Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation",ICD10_XML,False,2
A16.4,"Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation","Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation",ICD10_XML,False,2
A16.5,"Tuberculous pleurisy, without mention of bacteriological or histological confirmation","Tuberculous pleurisy, without mention of bacteriological or histological confirmation",ICD10_XML,False,2
A16.7,Primary respiratory tuberculosis without mention of bacteriological or histological confirmation,Primary respiratory tuberculosis without mention of bacteriological or histological confirmation,ICD10_XML,False,2
A16.8,"Other respiratory tuberculosis, without mention of bacteriological or histological confirmation","Other respiratory tuberculosis, without mention of bacteriological or histological confirmation",ICD10_XML,False,2
A16.9,"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation","Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation",ICD10_XML,False,2
A17,Tuberculosis of nervous system,Tuberculosis of nervous system,ICD10_XML,False,4
A17.0,Tuberculous meningitis,"Tuberculous meningitis; Tuberculous leptomeningitis; Tuberculosis of meninges (cerebral)(spinal). A form of bacterial meningitis caused by MYCOBACTERIUM TUBERCULOSIS or rarely MYCOBACTERIUM BOVIS. The organism seeds the meninges and forms microtuberculomas which subsequently rupture. The clinical course tends to be subacute, with progressions occurring over a period of several days or longer. Headache and meningeal irritation may be followed by SEIZURES, cranial neuropathies, focal neurologic deficits, somnolence, and eventually COMA. The illness may occur in immunocompetent individuals or as an OPPORTUNISTIC INFECTION in the ACQUIRED IMMUNODEFICIENCY SYNDROME and other immunodeficiency syndromes. (From Adams et al., Principles of Neurology, 6th ed, pp717-9)",MSH,True,6
A17.1,Meningeal tuberculoma,Meningeal tuberculoma; Tuberculoma of meninges (cerebral) (spinal),ICD10_XML,False,5
A17.8,Other tuberculosis of nervous system,Other tuberculosis of nervous system,ICD10_XML,False,4
A17.9,"Tuberculosis of nervous system, unspecified","Tuberculosis of nervous system, unspecified",ICD10_XML,False,4
A18,Tuberculosis of other organs,Tuberculosis of other organs,ICD10_XML,False,4
A18.0,Tuberculosis of bones and joints,Tuberculosis of bones and joints. Tuberculosis of the bones or joints.,MSH,True,4
A18.1,Tuberculosis of genitourinary system,Tuberculosis of genitourinary system. A general term for MYCOBACTERIUM infections of any part of the UROGENITAL SYSTEM in either the male or the female.,MSH,True,4
A18.2,Tuberculous peripheral lymphadenopathy,Tuberculous adenitis; Tuberculous peripheral lymphadenopathy. Infection of the lymph nodes by tuberculosis. Tuberculous infection of the cervical lymph nodes is scrofula.,MSH,True,5
A18.3,"Tuberculosis of intestines, peritoneum and mesenteric glands","Tuberculosis of intestines, peritoneum and mesenteric glands",ICD10_XML,False,4
A18.4,Tuberculosis of skin and subcutaneous tissue,"Erythema induratum, tuberculous; Lupus vulgaris NOS; Lupus exedens; Scrofuloderma; Tuberculosis of skin and subcutaneous tissue. A form of cutaneous tuberculosis. It is seen predominantly in women and typically involves the NASAL MUCOSA; BUCCAL MUCOSA; and conjunctival mucosa.",MSH,True,10
A18.5,Tuberculosis of eye,"Tuberculosis of eye. Tuberculous infection of the eye, primarily the iris, ciliary body, and choroid.",MSH,True,4
A18.6,Tuberculosis of ear,Tuberculosis of ear; Tuberculous otitis media; Tuberculosis of (inner) (middle) ear,ICD10_XML,False,5
A18.7,Tuberculosis of adrenal glands,Tuberculosis of adrenal glands; Tuberculous Addison's disease. Tuberculosis of the adrenal gland.,NCI,True,5
A18.8,Tuberculosis of other specified organs,Tuberculosis of other specified organs,ICD10_XML,False,4
A19,Miliary tuberculosis,Miliary tuberculosis; disseminated tuberculosis; generalized tuberculosis; tuberculous polyserositis. An acute form of TUBERCULOSIS in which minute tubercles are formed in a number of organs of the body due to dissemination of the bacilli through the blood stream..,MSH,True,7
A19.0,Acute miliary tuberculosis of a single specified site,Acute miliary tuberculosis of a single specified site,ICD10_XML,False,4
A19.1,Acute miliary tuberculosis of multiple sites,Acute miliary tuberculosis of multiple sites,ICD10_XML,False,4
A19.2,"Acute miliary tuberculosis, unspecified","Acute miliary tuberculosis, unspecified",ICD10_XML,False,4
A19.8,Other miliary tuberculosis,Other miliary tuberculosis,ICD10_XML,False,4
A19.9,"Miliary tuberculosis, unspecified","Miliary tuberculosis, unspecified. An acute form of TUBERCULOSIS in which minute tubercles are formed in a number of organs of the body due to dissemination of the bacilli through the blood stream..",MSH,True,4
A20,Plague,"Plague; infection due to Yersinia pestis. An acute infectious disease caused by YERSINIA PESTIS that affects humans, wild rodents, and their ectoparasites. This condition persists due to its firm entrenchment in sylvatic rodent-flea ecosystems throughout the world. Bubonic plague is the most common form.",MSH,True,5
A20.0,Bubonic plague,Bubonic plague,ICD10_XML,False,4
A20.1,Cellulocutaneous plague,Cellulocutaneous plague,ICD10_XML,False,4
A20.2,Pneumonic plague,Pneumonic plague,ICD10_XML,False,4
A20.3,Plague meningitis,Plague meningitis,ICD10_XML,False,4
A20.7,Septicaemic plague,Septicemic plague; Septicaemic plague,ICD10_XML,False,4
A20.8,Other forms of plague,Abortive plague; Pestis minor; Other forms of plague; Asymptomatic plague,ICD10_XML,False,7
A20.9,"Plague, unspecified","Plague, unspecified. An acute infectious disease caused by YERSINIA PESTIS that affects humans, wild rodents, and their ectoparasites. This condition persists due to its firm entrenchment in sylvatic rodent-flea ecosystems throughout the world. Bubonic plague is the most common form.",MSH,True,4
A21,Tularaemia,"Tularemia; Tularaemia; rabbit fever; deer-fly fever; infection due to Francisella tularensis. A plague-like disease of rodents, transmissible to man. It is caused by FRANCISELLA TULARENSIS and is characterized by fever, chills, headache, backache, and weakness.",MSH,True,7
A21.0,Ulceroglandular tularaemia,Ulceroglandular tularemia; Ulceroglandular tularaemia,ICD10_XML,False,4
A21.1,Oculoglandular tularaemia,Oculoglandular tularemia; Oculoglandular tularaemia; Ophthalmic tularemia,ICD10_XML,False,5
A21.2,Pulmonary tularaemia,Pulmonary tularemia; Pulmonary tularaemia,ICD10_XML,False,4
A21.3,Gastrointestinal tularaemia,Gastrointestinal tularemia; Gastrointestinal tularaemia; Abdominal tularemia,ICD10_XML,False,5
A21.7,Generalized tularaemia,Generalized tularemia; Generalised tularaemia; Generalized tularaemia,ICD10_XML,False,4
A21.8,Other forms of tularaemia,Other forms of tularemia; Other forms of tularaemia,ICD10_XML,False,4
A21.9,"Tularaemia, unspecified","Tularemia, unspecified; Tularaemia, unspecified. A plague-like disease of rodents, transmissible to man. It is caused by FRANCISELLA TULARENSIS and is characterized by fever, chills, headache, backache, and weakness.",MSH,True,4
A22,Anthrax,"Anthrax; infection due to Bacillus anthracis. An acute infection caused by the spore-forming bacteria BACILLUS ANTHRACIS. It commonly affects hoofed animals such as sheep and goats. Infection in humans often involves the skin (cutaneous anthrax), the lungs (inhalation anthrax), or the gastrointestinal tract. Anthrax is not contagious and can be treated with antibiotics.",MSH,True,5
A22.0,Cutaneous anthrax,Cutaneous anthrax; Malignant pustule; Malignant carbuncle,ICD10_XML,False,6
A22.1,Pulmonary anthrax,"Pulmonary anthrax; Woolsorter's disease; Inhalation anthrax; Ragpicker's disease. Inhalational anthrax is a rare acute systemic infection caused by the inhalation of &lt;i&gt;Bacillus anthracis&lt;/i&gt; spores (e.g. through infected animal products, bioterrorism) and characterized by an initial stage where patients present with non specific symptoms (fever, cough, chills, fatigue) that is followed by an acute phase during which hemorrhagic mediastinitis occurs that can progress into meningitis, gastrointestinal involvement, and refractory shock, that can be fatal, if left untreated.",ORPHANET,True,7
A22.2,Gastrointestinal anthrax,Gastrointestinal anthrax,ICD10_XML,False,4
A22.7,Anthrax sepsis,Anthrax sepsis; Anthrax septicaemia,ICD10_XML,False,4
A22.8,Other forms of anthrax,Other forms of anthrax; Anthrax meningitis,ICD10_XML,False,5
A22.9,"Anthrax, unspecified","Anthrax, unspecified. An acute infection caused by the spore-forming bacteria BACILLUS ANTHRACIS. It commonly affects hoofed animals such as sheep and goats. Infection in humans often involves the skin (cutaneous anthrax), the lungs (inhalation anthrax), or the gastrointestinal tract. Anthrax is not contagious and can be treated with antibiotics.",MSH,True,4
A23,Brucellosis,"Brucellosis; Malta fever; undulant fever; Mediterranean fever. Infection caused by bacteria of the genus BRUCELLA mainly involving the MONONUCLEAR PHAGOCYTE SYSTEM. This condition is characterized by fever, weakness, malaise, and weight loss.",MSH,True,7
A23.0,Brucellosis due to Brucella melitensis,Brucellosis due to Brucella melitensis,ICD10_XML,False,4
A23.1,Brucellosis due to Brucella abortus,Brucellosis due to Brucella abortus. A disease of cattle caused by bacteria of the genus BRUCELLA leading to abortion in late pregnancy. BRUCELLA ABORTUS is the primary infective agent.,MSH,True,4
A23.2,Brucellosis due to Brucella suis,Brucellosis due to Brucella suis,ICD10_XML,False,4
A23.3,Brucellosis due to Brucella canis,Brucellosis due to Brucella canis,ICD10_XML,False,4
A23.8,Other brucellosis,Other brucellosis,ICD10_XML,False,4
A23.9,"Brucellosis, unspecified","Brucellosis, unspecified. Infection caused by bacteria of the genus BRUCELLA mainly involving the MONONUCLEAR PHAGOCYTE SYSTEM. This condition is characterized by fever, weakness, malaise, and weight loss.",MSH,True,4
A24,Glanders and melioidosis,Glanders and melioidosis,ICD10_XML,False,4
A24.0,Glanders,Glanders; Malleus; Infection due to Pseudomonas mallei. A contagious disease of horses that can be transmitted to humans. It is caused by BURKHOLDERIA MALLEI and characterized by ulceration of the respiratory mucosa and an eruption of nodules on the skin.,MSH,True,6
A24.1,Acute and fulminating melioidosis,Acute and fulminating melioidosis; Melioidosis pneumonia; Melioidosis sepsis,ICD10_XML,False,6
A24.2,Subacute and chronic melioidosis,Subacute and chronic melioidosis,ICD10_XML,False,4
A24.3,Other melioidosis,Other melioidosis,ICD10_XML,False,4
A24.4,"Melioidosis, unspecified","Melioidosis, unspecified. A disease of humans and animals that resembles GLANDERS. It is caused by BURKHOLDERIA PSEUDOMALLEI and may range from a dormant infection to a condition that causes multiple abscesses, PNEUMONIA and BACTEREMIA.",MSH,True,2
A25,Rat-bite fevers,"Rat-bite fevers. A syndrome characterized by recurring fever, rash, and arthralgias occurring days to weeks after a rat bite. The causative agents are either Streptobacillus moniliformis or Spirillum minus.",MSH,True,4
A25.0,Spirillosis,"Sodoku; Spirillosis. Spirillary rat-bite fever (RBF), also known as Sodoku (Japanese for so: rat and doku: poison), is caused by the Gram-negative bacillus &lt;i&gt;Spirillum minus&lt;/i&gt; and is transmitted to humans through the bites and scratches of rats. The disease is mostly present in Asia.",ORPHANET,True,5
A25.1,Streptobacillosis,Haverhill fever; Streptobacillary rat-bite fever; Epidemic arthritic erythema; Streptobacillosis. Streptobacillary rat-bite fever (RBF) is a systemic zoonosis caused by the aerobic Gram-negative bacterium &lt;i&gt;Streptobacillus moniliformis&lt;/i&gt; and is transmitted to humans through the bites and scratches of infected rats.,ORPHANET,True,7
A25.9,"Rat-bite fever, unspecified","Rat-bite fever, unspecified. A syndrome characterized by recurring fever, rash, and arthralgias occurring days to weeks after a rat bite. The causative agents are either Streptobacillus moniliformis or Spirillum minus.",MSH,True,4
A26,Erysipeloid,"Erysipeloid. An infection caused by Erysipelothrix rhusiopathiae that is almost wholly restricted to persons who in their occupation handle infected fish, shellfish, poultry, or meat. Three forms of this condition exist: a mild localized form manifested by local swelling and redness of the skin; a diffuse form that might present with fever; and a rare systemic form associated with endocarditis.",MSH,True,4
A26.0,Cutaneous erysipeloid,"Erythema migrans; Cutaneous erysipeloid. A deep type of gyrate erythema that follows a bite by an ixodid tick; it is a stage-1 manifestation of LYME DISEASE. The site of the bite is characterized by a red papule that expands peripherally as a nonscaling, palpable band that clears centrally. This condition is often associated with systemic symptoms such as chills, fever, headache, malaise, nausea, vomiting, fatigue, backache, and stiff neck.",MSH,True,5
A26.7,Erysipelothrix sepsis,Erysipelothrix septicaemia; Erysipelothrix sepsis,ICD10_XML,False,4
A26.8,Other forms of erysipeloid,Other forms of erysipeloid,ICD10_XML,False,4
A26.9,"Erysipeloid, unspecified","Erysipeloid, unspecified. An infection caused by Erysipelothrix rhusiopathiae that is almost wholly restricted to persons who in their occupation handle infected fish, shellfish, poultry, or meat. Three forms of this condition exist: a mild localized form manifested by local swelling and redness of the skin; a diffuse form that might present with fever; and a rare systemic form associated with endocarditis.",MSH,True,4
A27,Leptospirosis,Leptospirosis. Infections with bacteria of the genus LEPTOSPIRA.,MSH,True,4
A27.0,Leptospirosis icterohaemorrhagica,"Weil's disease; Leptospirosis icterohemorrhagica; Leptospirosis icterohaemorrhagica; Leptospiral or spirochetal jaundice (hemorrhagic). A severe form of LEPTOSPIROSIS, usually caused by LEPTOSPIRA INTERROGANS SEROVAR ICTEROHAEMORRHAGIAE and occasionally other serovars. It is transmitted to humans by the rat and is characterized by hemorrhagic and renal symptoms with accompanying JAUNDICE.",MSH,True,6
A27.8,Other forms of leptospirosis,Other forms of leptospirosis,ICD10_XML,False,4
A27.9,"Leptospirosis, unspecified","Leptospirosis, unspecified. Infections with bacteria of the genus LEPTOSPIRA.",MSH,True,4
A28,"Other zoonotic bacterial diseases, not elsewhere classified","Other zoonotic bacterial diseases, not elsewhere classified",ICD10_XML,False,4
